"latitude (UTM)", "longitude (UTM)", "total area (m*m)", "mounded area (m*m)", "total volume (m*m*m)", "volume mound (m*m*m)", "max elevation mound (m)"
4089038, 590652.74, 56750, 7575, 64327.5, 31610, 4.17
4072299.1, 590716.47, 41075, 1475, 14961.25, 1984.575, 1.35
4066588.5, 590722.26, 82125, 13875, 32602.5, 37072.5, 2.67
4061163.5, 590722.4, 142775, 4825, 52777.5, 18868, 3.91
4061791.8, 590799.84, 73075, 13500, 143690, 57242.5, 4.24
4087738.3, 590834.95, 7350, 0, 0, NA, NA
4063634.7, 590836.55, 13050, 0, 914.8, NA, NA
4105192.9, 590887.57, 253625, 26250, 150297.5, 84812.5, 3.24
4071976.4, 590899.73, 35075, 450, 27252.5, 843.425, 1.87
4072274.2, 590942.3, 28250, 975, 11676, 1433.95, 1.47
4076363.7, 590961.7, 135325, 40750, 247182.5, 198487.5, 4.87
4104978.3, 590979.95, 257450, 24425, 144385, 83397.5, 3.41
4067776.2, 590985.68, 20975, 0, 914.025, NA, NA
4102779.6, 590994.82, 116725, 15900, 0, 27437.5, 1.73
4073426, 591001.06, 324800, 64250, 390975, 408800, 6.37
4062451.6, 591032.96, 107250, 1300, 0, 3067.75, 2.36
4069617.4, 591068.85, 52075, 450, 0, 1185.125, 2.63
4066735.9, 591083.71, 145975, 0, 0, NA, NA
4093616.4, 591140.64, 76775, 0, 0, NA, NA
4057730.6, 591142.94, 198425, 0, 25107.5, NA, NA
4067762.5, 591154.71, 21425, 0, 9976.5, NA, NA
4055193.3, 591154.95, 8025, 0, 0, NA, NA
4116960.2, 591161.99, 41625, 0, 0, NA, NA
4114854, 591169.92, 30075, 0, 8745.5, NA, NA
4073907.8, 591201.94, 165125, 16625, 121755, 45325, 2.73
4046261, 591207.62, 168075, 23875, 238470, 89772.5, 3.76
4054538.3, 591214.95, 160150, 6025, 218767.5, 23608.5, 3.92
4104646.8, 591225.19, 41825, 0, 37692.5, NA, NA
4054530.1, 591245.51, 160150, 6375, 246452.5, 24571.75, 3.85
4085817.2, 591251.33, 194225, 136750, 1421150, 131537.5, 9.62
4072838.3, 591274.95, 14550, 50, 4306.5, 167.72, 3.35
4064191.2, 591281.08, 15925, 0, 3910.75, NA, NA
4075168.3, 591289.95, 13200, 0, 1282.375, NA, NA
4116307, 591330.92, 434225, 1300, 0, 28405, 21.8
4064640.1, 591373.14, 28275, 0, 3573.75, NA, NA
4075037.5, 591377.1, 54300, 17725, 151462.5, 96415, 5.44
4072563.3, 591379.95, 36000, 225, 3573.75, 626.825, 2.79
4068158.9, 591421.3, 35025, 0, 7619, NA, NA
4108631.4, 591452.88, 76900, 0, 0, NA, NA
4115716.9, 591475.34, 155875, 15525, 600450, 187975, 12.1
4075854.7, 591495.29, 75350, 30250, 107205, 83492.5, 2.76
4075370, 591499.17, 70125, 0, 0, NA, NA
4063355.5, 591511.88, 18350, 125, 8726.5, 214.32, 1.71
4065597.1, 591512.71, 16925, 0, 2832.75, NA, NA
4072288.3, 591534.95, 3850, 0, 1859.025, NA, NA
