"latitude (UTM)", "longitude (UTM)", "total area (m*m)", "mounded area (m*m)", "total volume (m*m*m)", "volume mound (m*m*m)", "max elevation mound (m)"
4044938.3, 635880.41, 162150, 650, 0, 1519.05, 2.34
4086563.4, 635950.34, 189450, 375, 0, 1112.075, 2.97
4065668.3, 635985.34, 99150, 1575, 0, 4203.25, 2.67
4098082.4, 635993.83, 45850, 5600, 7810.75, 11589.25, 2.07
4080718.3, 636040.05, 19050, 0, 0, NA, NA
4067368.3, 636057.66, 31375, 1300, 4583.5, 4796.25, 3.69
4117855.3, 636090.54, 35250, 0, 0, NA, NA
4092985.8, 636095.5, 33000, 3200, 22828.25, 8626.75, 2.7
4048638.3, 636135.29, 71550, 1725, 27620, 5359.25, 3.11
4075885.8, 636187.73, 116325, 19250, 164917.5, 95505, 4.96
4091218.3, 636197.91, 57150, 23425, 82550, 87290, 3.73
4117105.4, 636221.79, 80225, 1225, 0, 3004.5, 2.45
4097553.3, 636222.62, 54675, 0, 0, NA, NA
4074765.8, 636227.75, 23125, 3125, 29687.5, 15804.25, 5.06
4121483.3, 636262.86, 150175, 4325, 14423.5, 8180.75, 1.89
4074563.3, 636297.67, 50100, 14700, 111235, 83137.5, 5.66
4073953.3, 636302.8, 161250, 69250, 750650, 543775, 7.86
4108634.2, 636309.85, 57475, 650, 0, 1878.925, 2.89
4114246.5, 636312.12, 15500, 0, 2643, NA, NA
4097000.9, 636312.9, 100875, 1500, 0, 5247.75, 3.5
4036313.3, 636340.32, 154350, 8575, 90282.5, 26797.5, 3.13
4104718.3, 636356.89, 29175, 1500, 34072.5, 5473.5, 3.65
4084408.3, 636375.4, 67325, 0, 0, NA, NA
4067913.3, 636379.95, 5875, 0, 0, NA, NA
4090058.3, 636395.62, 14225, 50, 338.725, 119.9, 2.4
4092705.7, 636422.97, 69025, 2575, 0, 6355.75, 2.47
4067368.3, 636432.69, 37725, 1750, 633.475, 5930.5, 3.39
4099150.1, 636460.59, 48400, 25, 0, 63.67, 2.55
4114680.8, 636480.37, 83250, 0, 0, NA, NA
4100090.8, 636488, 60325, 2325, 68500, 6433.25, 2.77
4090290.8, 636495.57, 14275, 4275, 15264, 8362.5, 1.96
4091877.7, 636524.6, 215900, 45000, 190890, 322125, 7.15
4057958.3, 636525.34, 48625, 0, 8125, NA, NA
4120110.3, 636528.99, 109400, 0, 0, NA, NA
4091648.3, 636539.95, 7575, 475, 12990.75, 1682.875, 3.54
4101608.3, 636544.95, 6100, 0, 1774.1, NA, NA
4035983.3, 636557.73, 62675, 425, 0, 1210.675, 2.85
4114058.3, 636562.8, 17900, 0, 0, NA, NA
4078723.3, 636570.05, 17375, 0, 0, NA, NA
4075635.8, 636587.79, 76175, 10900, 174822.5, 67400, 6.18
4044840.8, 636597.89, 55000, 11775, 26455, 25302.5, 2.15
4098141.1, 636630.36, 53550, 1250, 11497.75, 2502.25, 2
4091498.3, 636635.7, 101650, 0, 8611, NA, NA
4069830.8, 636650.09, 15075, 0, 0, NA, NA
4113150, 636652.59, 25625, 0, 3059.5, NA, NA
4048010.9, 636655.32, 202150, 72500, 324725, 270850, 3.74
4099278.3, 636662.61, 35475, 0, 0, NA, NA
4110443.1, 636664.23, 17075, 3350, 8745.25, 4356, 1.3
4074455.9, 636685.22, 66100, 1625, 0, 8803.5, 5.42
4067585.9, 636692.62, 188800, 8300, 125372.5, 29757.5, 3.59
4093583.3, 636704.95, 24900, 200, 0, 567.9, 2.84
4088613.4, 636707.85, 198500, 1700, 0, 5878.25, 3.46
4117078.5, 636726.46, 57625, 5625, 0, 15640.5, 2.78
4093032.8, 636738.75, 64350, 3475, 9290.5, 8446, 2.43
4097111.2, 636748.69, 149975, 0, 0, NA, NA
4093618.3, 636767.84, 33250, 5900, 36087.5, 16093.25, 2.73
4078008.3, 636785.44, 28350, 1000, 38337.5, 3395.75, 3.4
4119413.6, 636798.86, 51925, 1350, 0, 1884.55, 1.4
4116641.6, 636800.17, 298950, 39500, 143030, 125777.5, 3.19
4055658.3, 636812.66, 26675, 0, 13965.75, NA, NA
4090828.3, 636824.95, 36700, 3375, 13667.5, 10710.5, 3.17
4071698.3, 636887.45, 28800, 6425, 29620, 21152.75, 3.29
4124484, 636893.26, 266600, 0, 0, NA, NA
4114358.3, 636895.31, 53600, 0, 0, NA, NA
4100722.8, 636917.81, 117800, 350, 20913.25, 1153.6, 3.3
4110577.7, 636919.22, 80725, 0, 0, NA, NA
4067055.8, 636975.2, 19875, 0, 5819.25, NA, NA
4109679.1, 637010.17, 36125, 0, 10605.25, NA, NA
4065923.3, 637019.95, 8025, 0, 0, NA, NA
4078668.3, 637025.65, 87850, 4950, 35522.5, 9606, 1.94
4081663.3, 637034.95, 5500, 150, 15642.25, 659.275, 4.4
4108891.3, 637039.44, 71875, 850, 50352.5, 1872.875, 2.2
4109663.3, 637039.95, 4300, 0, 2901.25, NA, NA
4084655.8, 637040.61, 147950, 6450, 41080, 18089.25, 2.8
4105379.9, 637047.7, 763225, 110250, 409825, 844475, 7.66
4048740.8, 637048.02, 248600, 55500, 385575, 264000, 4.75
4072370.8, 637050.44, 40325, 3200, 48152.5, 13298, 4.16
4090930.9, 637053.01, 63775, 1325, 0, 4340.75, 3.28
4078885.8, 637055.07, 72875, 0, 13190, NA, NA
4113637.5, 637062.24, 389250, 1350, 0, 2527.5, 1.87
4059338.3, 637084.95, 4550, 0, 3305.25, NA, NA
4082823.3, 637088.3, 82575, 1200, 70015, 4509.75, 3.76
4117121, 637102.85, 91325, 1775, 0, 4384, 2.47
4112697.3, 637144.45, 27900, 0, 0, NA, NA
4079025.8, 637175.43, 16350, 450, 7187.75, 701.05, 1.56
4114790.8, 637175.52, 77350, 0, 0, NA, NA
4095653.4, 637180.35, 30550, 0, 0, NA, NA
4083900.9, 637182.93, 144875, 4750, 0, 20936.5, 4.41
4048168.3, 637187.86, 94225, 17350, 119715, 70610, 4.07
4105887.6, 637214.78, 118350, 150, 0, 627.2, 4.18
4107335.6, 637233.62, 34950, 0, 0, NA, NA
4109434.1, 637249.31, 178050, 18825, 90922.5, 59190, 3.14
4078803.5, 637258.13, 11975, 0, 422.725, NA, NA
4093847.2, 637272.14, 21350, 6075, 31147.5, 16857.75, 2.77
4064840.8, 637272.98, 32300, 0, 31725, NA, NA
4080020.8, 637292.66, 15925, 1225, 6663.5, 1723.35, 1.41
4044530.8, 637307.69, 85500, 375, 0, 1147.9, 3.06
4098300.4, 637310.8, 74750, 2175, 0, 5144.25, 2.37
4045928.4, 637317.96, 228475, 39500, 68450, 78715, 1.99
4040793.3, 637327.71, 83875, 550, 0, 1447.625, 2.63
4108092.6, 637338.22, 18525, 750, 8307.5, 1558.625, 2.08
4078240.9, 637347.69, 32250, 0, 15861.5, NA, NA
4091028.3, 637349.95, 21550, 0, 12088.25, NA, NA
4036195.9, 637355.55, 90425, 11775, 105047.5, 34222.5, 2.91
4098895.8, 637362.71, 28675, 0, 23341, NA, NA
4042390.8, 637460.6, 145900, 2275, 36917.5, 6735.25, 2.96
4106335.1, 637464.22, 144725, 7950, 103387.5, 28372.5, 3.57
4118834.4, 637520.86, 13975, 0, 0, NA, NA
4111859.7, 637533.71, 140425, 34750, 85985, 74097.5, 2.13
4105015.5, 637537.73, 52100, 3600, 33060, 8027.5, 2.23
4090823.3, 637569.95, 23675, 1100, 9347, 3416.75, 3.11
4114235.8, 637570.46, 18875, 0, 0, NA, NA
4091488.3, 637580.4, 17125, 1950, 16901.75, 4461.25, 2.29
4065863.3, 637582.93, 94275, 0, 0, NA, NA
4112338.3, 637582.93, 68125, 0, 3878.25, NA, NA
4114843.3, 637585.43, 56400, 0, 0, NA, NA
4109200.1, 637587.36, 138975, 22825, 126082.5, 75327.5, 3.3
4047035.8, 637587.6, 170475, 16200, 64200, 38707.5, 2.39
4080063.3, 637594.95, 43200, 0, 9074, NA, NA
4093390.8, 637612.76, 49900, 4275, 18619.25, 13134.75, 3.07
4072945.8, 637625.42, 50850, 0, 0, NA, NA
4070313.3, 637635.6, 102325, 2500, 100375, 8302, 3.32
4097557.9, 637656.11, 31900, 0, 0, NA, NA
4108415.2, 637684.32, 34550, 6500, 53597.5, 25260, 3.89
4093673.3, 637687.81, 68325, 2975, 0, 9032.5, 3.04
4048178.3, 637715.81, 98600, 15000, 143065, 74112.5, 4.94
4113775.8, 637725.23, 67900, 16750, 50002.5, 41202.5, 2.46
4071323.3, 637742.63, 105225, 6175, 97632.5, 21351.25, 3.46
4099238.3, 637742.74, 25125, 0, 0, NA, NA
4079703.3, 637789.95, 7875, 0, 451.475, NA, NA
4107448.3, 637790.25, 53425, 5875, 31950, 15133.75, 2.58
4112333.3, 637848.14, 63050, 0, 11274.5, NA, NA
4106651.2, 637872.24, 81125, 12775, 145905, 62272.5, 4.87
4113883.3, 637895.77, 32950, 175, 7013.75, 422.525, 2.41
4092360.8, 637922.87, 80925, 0, 0, NA, NA
4071195.8, 637940.29, 37750, 0, 0, NA, NA
4088718.3, 637955.07, 107800, 4000, 0, 9763.75, 2.44
4112560.3, 637962.31, 102300, 2250, 25325, 5415.25, 2.41
4078798.3, 637990.65, 102325, 750, 0, 2989, 3.99
4098840.8, 638037.99, 39575, 0, 0, NA, NA
4091683.5, 638045.31, 16925, 0, 0, NA, NA
4085808.4, 638057.81, 264325, 9800, 0, 27345, 2.79
4121463.3, 638072.73, 112700, 13050, 66345, 28457.5, 2.18
4082539.1, 638076.7, 147000, 9600, 0, 44810, 4.67
4067003.3, 638095.05, 17325, 0, 0, NA, NA
4110158.3, 638095.22, 74800, 0, 0, NA, NA
4120639.7, 638098.75, 78975, 18675, 87962.5, 56817.5, 3.04
4117612.3, 638111.82, 151325, 18950, 0, 61195, 3.23
4118557.4, 638117.18, 22875, 0, 0, NA, NA
4098285.7, 638119.68, 178550, 75, 0, 210.2325, 2.8
4049045.8, 638125.21, 217650, 26000, 555350, 166910, 6.43
4048318.3, 638132.85, 111600, 0, 0, NA, NA
4095973.3, 638160.15, 89775, 9525, 77975, 25760, 2.7
4092615.9, 638165.3, 74125, 1800, 0, 6164.5, 3.42
4118342.4, 638167.28, 70450, 9125, 74162.5, 24096.5, 2.64
4063808.3, 638179.95, 8025, 125, 0, 286.2, 2.29
4106689.3, 638212.32, 106625, 2325, 57285, 6837.5, 2.94
4115019.2, 638217.73, 75450, 7125, 41402.5, 18643.75, 2.62
4102336.3, 638226.81, 153400, 625, 38395, 1712.15, 2.74
4091168.3, 638284.95, 6500, 0, 0, NA, NA
4092994.6, 638286.2, 82800, 400, 0, 1704.525, 4.26
4091790.8, 638290.28, 14300, 0, 401.575, NA, NA
4109605.8, 638300.5, 126800, 1050, 0, 3283.5, 3.13
4071058.3, 638303.03, 50525, 11650, 69305, 28675, 2.46
4095058.3, 638349.95, 40975, 4100, 26712.5, 10021.25, 2.44
4059013.3, 638384.95, 7000, 0, 0, NA, NA
4087878.3, 638408.28, 23675, 0, 6652.5, NA, NA
4094044.2, 638416.19, 360100, 68250, 517475, 660500, 9.67
4110613.3, 638447.89, 43400, 2175, 0, 4966.5, 2.28
4104034.3, 638447.93, 122675, 50, 0, 142.3175, 2.85
4110738.3, 638454.95, 56625, 0, 0, NA, NA
4091971.4, 638463.71, 25800, 0, 10292.25, NA, NA
4048778.3, 638464.95, 83150, 6525, 0, 40192.5, 6.16
4056975.8, 638485.43, 194500, 57500, 478725, 29415, 5.1
4098637.2, 638512.35, 36425, 1175, 0, 1791.325, 1.52
4093270.3, 638514.99, 38500, 25, 0, 76.635, 3.07
4080995.8, 638532.72, 34000, 0, 16422.25, NA, NA
4088248.3, 638548.04, 34975, 0, 17772.25, NA, NA
4087053.3, 638560.23, 127500, 1450, 0, 2502.75, 1.73
4083446, 638560.5, 102700, 2375, 86200, 6725.25, 2.83
4106485.8, 638560.59, 78750, 125, 0, 381.3, 3.05
4099842.8, 638568.33, 72800, 100, 0, 190.415, 1.9
4048700.9, 638597.94, 74650, 7475, 0, 27147.5, 3.63
4096358.4, 638617.49, 62550, 20075, 79285, 53407.5, 2.66
4106998.3, 638622.69, 158850, 13425, 0, 47252.5, 3.52
4110883.3, 638645.23, 61675, 1425, 28570, 3167.5, 2.22
4101944.7, 638646.95, 49825, 3325, 44530, 9294, 2.8
4111178.3, 638662.8, 74450, 25, 0, 36.9325, 1.48
4091879.2, 638692.63, 39850, 0, 6154.5, NA, NA
4084370.8, 638708.05, 48825, 800, 46475, 2159.85, 2.7
4110095.1, 638710.83, 245675, 11000, 54295, 30130, 2.74
4072490.9, 638712.78, 109450, 0, 4049, NA, NA
4090476.5, 638757.89, 67850, 2675, 30582.5, 7499, 2.8
4091618.3, 638770.41, 107875, 7175, 25742.5, 24981.25, 3.48
4079085.8, 638782.77, 66050, 4350, 82295, 13843.25, 3.18
4112658.3, 638785.49, 68025, 4125, 40757.5, 6837.5, 1.66
4082885.8, 638795.55, 107850, 47000, 237427.5, 164932.5, 3.5
4088010.8, 638795.56, 40450, 0, 0, NA, NA
4115919.4, 638808.97, 65025, 1975, 7197, 3118.25, 1.58
4111437.3, 638824.66, 100175, 7125, 55122.5, 12920.25, 1.81
4071888.3, 638830.52, 77675, 1925, 0, 6388.5, 3.32
4085385.8, 638844.98, 108500, 19850, 98935, 65810, 3.32
4089513.3, 638847.93, 32675, 5100, 26590, 12309, 2.41
4112623.3, 638859.95, 63825, 0, 0, NA, NA
4118037.5, 638871.19, 155975, 25750, 45517.5, 67260, 2.61
4110445.8, 638918.17, 29375, 1600, 10723, 3821.25, 2.39
4088408.3, 638954.95, 35775, 0, 0, NA, NA
4042670.8, 638993.11, 192325, 13175, 0, 42425, 3.22
4080289.5, 639010.24, 39725, 25, 18106.75, 49.2375, 1.97
4096858.5, 639012.02, 111825, 1325, 0, 2743, 2.07
4089903.3, 639025.1, 198000, 20775, 169577.5, 92562.5, 4.46
4091348.3, 639054.95, 53525, 200, 0, 727.775, 3.64
4114794.7, 639057.03, 54475, 1925, 1351.2, 2569.25, 1.33
4039200.9, 639085.28, 229775, 19475, 114800, 64892.5, 3.33
4107222.4, 639096.37, 69225, 7525, 22244.5, 36535, 4.86
4088855.8, 639097.67, 50500, 0, 0, NA, NA
4089193.3, 639100.53, 133225, 1550, 9712.75, 5914, 3.82
4114018.7, 639109.61, 281500, 1025, 0, 1973.25, 1.93
4089183.3, 639124.95, 133225, 1375, 0, 5041.25, 3.67
4095469.5, 639147.74, 110050, 6500, 47855, 17733, 2.73
4091860.8, 639152.67, 47425, 6425, 40545, 21055, 3.28
4087843.3, 639160.54, 46775, 850, 30157.5, 1817.075, 2.14
4112410.8, 639165.63, 52600, 5350, 20640, 8402, 1.57
4085893.3, 639169.95, 7300, 0, 1601.6, NA, NA
4079765.9, 639177.79, 38125, 1525, 1793.675, 2443.775, 1.6
4079748.3, 639194.95, 38125, 1200, 0, 1868.65, 1.56
4062178.4, 639217.83, 50250, 300, 0, 2751.5, 9.17
4074688.4, 639225.43, 209100, 425, 0, 1795.3, 4.22
4121285.7, 639260.71, 74825, 0, 0, NA, NA
4071015.9, 639265.24, 440175, 145250, 958350, 855900, 5.9
4047733.3, 639275.39, 185400, 64500, 398300, 391200, 6.07
4086148.3, 639279.95, 6375, 0, 1938.325, NA, NA
4107400.9, 639355.08, 140600, 12825, 9319.5, 57902.5, 4.51
4112413.3, 639375.27, 26550, 0, 0, NA, NA
4098253.3, 639395.28, 25475, 9150, 23211, 15096.75, 1.65
4112598.3, 639399.95, 37075, 1100, 0.799, 1947.925, 1.77
4048945.8, 639432.94, 103450, 3500, 96612.5, 11051.5, 3.16
4103669.4, 639441.42, 126950, 1350, 0, 4066, 3.01
4054625.8, 639445.07, 222675, 19475, 0, 126987.5, 6.52
4048503.3, 639447.68, 79150, 0, 0, NA, NA
4047328.3, 639448.1, 152400, 25, 16443, 83.5275, 3.34
4083315.8, 639465.3, 129125, 25, 0, 70.6525, 2.83
4048298.4, 639475.39, 43475, 0, 1221.45, NA, NA
4101020.9, 639485.59, 165000, 3850, 0, 8047.5, 2.09
4106099.2, 639487.53, 72425, 0, 0, NA, NA
4088935.8, 639489.95, 34025, 4000, 25717.5, 9222, 2.31
4110648.3, 639495.5, 71100, 4575, 47307.5, 8922.5, 1.95
4073555.8, 639527.89, 153775, 2100, 0, 7353.75, 3.5
4068445.8, 639545.15, 61475, 0, 56605, NA, NA
4113068.3, 639545.42, 93575, 0, 0, NA, NA
4091783.3, 639559.95, 36200, 0, 25967.5, NA, NA
4113355.8, 639562.82, 28975, 0, 0, NA, NA
4093891.3, 639565.76, 33825, 150, 0, 319.725, 2.13
4105645.9, 639582.88, 133450, 0, 0, NA, NA
4084380.6, 639584.56, 186150, 45000, 135592.5, 129077.5, 2.88
4113555.8, 639600.18, 60275, 100, 0, 219.4675, 2.19
4061150.8, 639600.41, 56500, 0, 0, NA, NA
4082703.3, 639610.15, 58675, 10200, 67887.5, 27237.5, 2.67
4094550.8, 639635.26, 227650, 10025, 0, 26077.5, 2.6
4065983.5, 639642.47, 112650, 23475, 146827.5, 86005, 3.66
4063008.3, 639650.23, 52725, 0, 0, NA, NA
4048200.8, 639662.45, 42975, 300, 21754.75, 1227.65, 4.09
4113903.3, 639695.32, 21650, 950, 4815.5, 1537.5, 1.62
4080683.4, 639697.87, 10250, 575, 2727.5, 1499.95, 2.61
4107554.1, 639707.39, 84450, 13075, 67017.5, 38112.5, 2.91
4085698.3, 639707.82, 31000, 825, 37040, 2264.525, 2.74
4049103.3, 639714.95, 32600, 0, 19985.5, NA, NA
4087880.8, 639720.22, 157775, 50000, 271650, 205240, 4.12
4083865.8, 639722.58, 81250, 8625, 21274.25, 29757.5, 3.45
4113255.8, 639740.28, 58425, 28500, 71182.5, 63340, 2.21
4095150.8, 639762.87, 54850, 6150, 19577.75, 14887.75, 2.42
4089288.3, 639792.68, 76150, 0, 0, NA, NA
4081383.3, 639802.9, 185750, 75, 0, 231.4425, 3.09
4113420.8, 639812.74, 50950, 0, 0, NA, NA
4048713.3, 639824.95, 18850, 0, 0, NA, NA
4111254.9, 639844.77, 197225, 47500, 77365, 162080, 3.41
4055788.3, 639867.71, 29750, 675, 30135, 3151, 4.67
4061353.5, 639867.77, 76775, 18700, 308875, 222245, 11.9
4096718.8, 639871.72, 23150, 0, 0, NA, NA
4056458.3, 639897.45, 92575, 13250, 0, 91222.5, 6.88
4048055.8, 639910.73, 52050, 27000, 160892.5, 137820, 5.09
4120085.4, 639937.55, 32400, 0, 0, NA, NA
4072733.3, 639943.04, 62825, 17500, 109622.5, 66567.5, 3.8
4090856.3, 639959.1, 44850, 0, 31030, NA, NA
4066093.3, 639995.59, 69650, 15625, 94502.5, 54322.5, 3.48
4062965.8, 640020.1, 122975, 0, 62067.5, NA, NA
4123354.1, 640021.09, 129075, 375, 0, 1063.05, 2.83
4068363.4, 640045.57, 128900, 0, 0, NA, NA
4083455.8, 640048.04, 96525, 37250, 158082.5, 115447.5, 3.1
4107322.7, 640089.94, 99350, 0, 0, NA, NA
4075615.8, 640104.95, 27425, 8125, 119372.5, 58567.5, 7.21
4075318.3, 640134.95, 46025, 0, 0, NA, NA
4075743.3, 640149.95, 39275, 3550, 78775, 31970, 9.01
4060838.3, 640150.34, 108125, 11200, 0, 58100, 5.19
4107727.5, 640204.66, 91050, 3300, 22270.75, 12193.25, 3.69
4045020.8, 640257.95, 266675, 31000, 69282.5, 67007.5, 2.16
4090150.8, 640259.95, 50250, 5150, 22923, 19508.5, 3.79
4075833.3, 640278.05, 55725, 725, 0, 5935.75, 8.19
4114558.4, 640288.12, 56225, 0, 15821.5, NA, NA
4090384.8, 640305.32, 30925, 0, 0, NA, NA
4091006.2, 640305.63, 103950, 5675, 12336.5, 19147.25, 3.37
4089513.3, 640322.72, 41925, 6300, 57475, 18951.25, 3.01
4075678.3, 640323.82, 48725, 3300, 23285.5, 24089.75, 7.3
4084848.3, 640329.95, 26025, 4150, 31295, 10275.75, 2.48
4073013.3, 640330.58, 88850, 18500, 95525, 69460, 3.75
4107728.3, 640334.95, 2400, 175, 3686, 398, 2.27
4047570.8, 640347.75, 42675, 0, 28880, NA, NA
4091980.6, 640357.71, 14025, 0, 13507, NA, NA
4114158.4, 640380.82, 125750, 0, 9608, NA, NA
4086773.3, 640420.22, 102425, 6875, 28452.5, 27272.5, 3.97
4066373.3, 640453.28, 36150, 225, 0, 572.35, 2.54
4067133.3, 640454.95, 7650, 0, 3509.75, NA, NA
4087930.8, 640455.35, 52225, 8700, 26722.5, 25070, 2.88
4071548.3, 640459.95, 15100, 0, 0, NA, NA
4098060.9, 640472.54, 127250, 125, 0, 277.525, 2.22
4077710.8, 640475.32, 78600, 20675, 276800, 164822.5, 7.97
4073685.8, 640478.07, 36050, 1625, 46777.5, 3779, 2.33
4102053.7, 640478.21, 110200, 100, 0, 370.45, 3.7
4067338.3, 640489.95, 8025, 1000, 13994.75, 4393, 4.39
4111618.6, 640516.63, 7775, 0, 424.925, NA, NA
4090293.3, 640520.21, 80125, 5650, 5437.75, 18539.5, 3.28
4090023.3, 640523.11, 43825, 2750, 37995, 7076.25, 2.57
4048045.7, 640540.33, 87975, 850, 5397.25, 3083, 3.63
4072058.4, 640560.52, 108400, 0, 0, NA, NA
4089075.8, 640564.88, 200175, 4350, 0, 19612, 4.51
4047608.3, 640580.02, 47225, 275, 33850, 636.85, 2.32
4048345.8, 640602.67, 27275, 0, 0, NA, NA
4084275.9, 640622.74, 129850, 12325, 182162.5, 50430, 4.09
4107922.3, 640625.97, 90175, 3275, 0, 12817.25, 3.91
4095230.8, 640665.29, 31525, 0, 23423, NA, NA
4077058.3, 640702.93, 40500, 4850, 18416.5, 19796.5, 4.08
4073120.8, 640722.72, 117550, 40750, 297500, 201910, 4.95
4094114.2, 640739.37, 58225, 2550, 0, 4316, 1.69
4087785.4, 640740.57, 40675, 12550, 63847.5, 34052.5, 2.71
4092317.7, 640749.54, 28050, 0, 18970.25, NA, NA
4047972.4, 640757.98, 44925, 2300, 14698.5, 5316.25, 2.31
4090998, 640764.83, 25875, 575, 0, 1242.6, 2.16
4083270.8, 640765.26, 21525, 3325, 9924, 5711, 1.72
4099540.9, 640766.65, 2e+05, 58750, 326625, 202950, 3.46
4074745.8, 640767.73, 280700, 33000, 223650, 142715, 4.32
4089630.8, 640792.75, 16725, 0, 8924, NA, NA
4106352.6, 640801.13, 119400, 11025, 20624, 34965, 3.17
4109339.4, 640814.36, 34700, 0, 0, NA, NA
4085380.9, 640817.51, 151025, 21525, 230245, 79052.5, 3.67
4103210.6, 640822.82, 115700, 0, 0, NA, NA
4077490.8, 640825.36, 182925, 45750, 492125, 297925, 6.51
4093324.8, 640863.84, 88850, 4600, 0, 20143.5, 4.38
4068233.3, 640889.95, 7425, 0, 5542.5, NA, NA
4073063.3, 640899.95, 900, 0, 0, NA, NA
4103778.5, 640902.4, 40625, 4075, 25240, 10355.75, 2.54
4076538.3, 640907.82, 203750, 11375, 240510, 59797.5, 5.26
4070563.3, 640955.14, 61625, 0, 0, NA, NA
4083843.3, 640972.57, 112000, 13775, 49672.5, 51347.5, 3.73
4080195.8, 640980.05, 83575, 0, 0, NA, NA
4075900.8, 640982.69, 65375, 0, 0, NA, NA
4086915.8, 640985.62, 107450, 0, 0, NA, NA
4097519.9, 641015.18, 54500, 0, 2027.925, NA, NA
4090857.1, 641018.84, 30200, 75, 12455.25, 156.575, 2.09
4068845.8, 641027.69, 79325, 6350, 29597.5, 19713.25, 3.1
4081813.3, 641032.73, 79925, 4925, 32247.5, 13724.25, 2.79
4062078.3, 641035.42, 171300, 0, 0, NA, NA
4114473.3, 641035.77, 70675, 6825, 3069.5, 10642.25, 1.56
4054633.3, 641055.19, 94525, 0, 3163, NA, NA
4117327.2, 641057.37, 87975, 25750, 367125, 303100, 11.7
4117328.3, 641084.95, 87975, 26000, 357675, 301075, 11.6
4108145.8, 641103.08, 87700, 4425, 0, 14780.75, 3.34
4040718.3, 641104.95, 7450, 475, 1740.35, 1162.2, 2.45
4082243.3, 641107.73, 70700, 0, 0, NA, NA
4069175.8, 641115.63, 88250, 375, 123302.5, 1334.875, 3.56
4103965, 641122.49, 68575, 125, 0, 247.3625, 1.98
4112466.1, 641123.97, 367900, 59250, 84602.5, 283875, 4.79
4110620.8, 641147.78, 24825, 0, 16250.25, NA, NA
4066253.3, 641150.61, 31475, 0, 0, NA, NA
4114233.3, 641150.82, 104225, 0, 0, NA, NA
4090707.6, 641174.53, 68750, 0, 0, NA, NA
4049368.3, 641180.26, 41000, 1450, 22640.75, 2815.25, 1.94
4092520.8, 641183.48, 118025, 475, 0, 1530.8, 3.22
4090713.3, 641244.95, 3550, 0, 0, NA, NA
4098814.6, 641259.41, 156325, 50, 0, 131.6975, 2.63
4058798.3, 641274.95, 8025, 0, 0, NA, NA
4079142.9, 641275.29, 77500, 75, 60775, 304.775, 4.06
4089215.8, 641285.48, 52900, 1800, 36692.5, 4623.25, 2.57
4068655.8, 641297.74, 92025, 1450, 14006.75, 4290.5, 2.96
4075293.3, 641310.31, 36200, 4850, 100335, 28282.5, 5.83
4081423.3, 641317.85, 27550, 0, 0, NA, NA
4064213.1, 641330.2, 122075, 1500, 117842.5, 5081, 3.39
4084240.8, 641330.35, 33025, 125, 23249.25, 309.95, 2.48
4060378.4, 641365.23, 111650, 0, 48867.5, NA, NA
4065445.8, 641370.46, 74625, 175, 0, 497.575, 2.84
4089303.3, 641374.95, 5825, 25, 0, 59.725, 2.39
4065703.3, 641412.58, 88850, 50, 63070, 151.5825, 3.03
4088620.8, 641417.85, 34200, 5500, 26297.5, 22562.5, 4.1
4084780.8, 641447.82, 80900, 1850, 3102.25, 4455.5, 2.41
4083738.3, 641452.83, 205225, 1225, 0, 3568.5, 2.91
4071833.4, 641465.71, 100575, 27500, 107955, 89067.5, 3.23
4118087.2, 641468.83, 413725, 14225, 0, 35605, 2.5
4077970.8, 641470.37, 46425, 3675, 28842.5, 10429.75, 2.84
4075903.4, 641470.43, 158625, 14225, 120237.5, 103875, 7.3
4094805.8, 641497.97, 75325, 0, 0, NA, NA
4090576.2, 641498.3, 90875, 7475, 186262.5, 38612.5, 5.17
4108398.6, 641505.29, 92200, 50, 2531.75, 142.03, 2.84
4074643.3, 641515.29, 37550, 1625, 0, 9555.75, 5.88
4065290.8, 641515.56, 69000, 0, 0, NA, NA
4099042, 641530.17, 40125, 0, 0, NA, NA
4087675.8, 641552.78, 232500, 47250, 304500, 234247.5, 4.95
4074818.3, 641575.3, 37200, 4400, 65062.5, 30117.5, 6.85
4089370.8, 641595.51, 106475, 0, 0, NA, NA
4115040.9, 641597.11, 113525, 525, 0, 782.025, 1.49
4090240.8, 641600.43, 34350, 5425, 32747.5, 17036.5, 3.14
4049088.4, 641605.28, 339700, 26500, 71267.5, 73737.5, 2.78
4082970.8, 641607.82, 88400, 1825, 3110.5, 4152.5, 2.28
4095768.3, 641615.36, 112000, 75, 0, 314, 4.19
4089038.3, 641630.35, 27700, 0, 0, NA, NA
4066943.3, 641672.95, 513325, 154500, 1315250, 1153850, 7.47
4077025.8, 641700.58, 108400, 2475, 46937.5, 8771.5, 3.54
4065393.5, 641703.21, 58725, 300, 10578.25, 903.1, 3.01
4096920.8, 641735.97, 102575, 6375, 0, 26430, 4.15
4094608.3, 641743.3, 88525, 3675, 14135.5, 23495.5, 6.39
4086075.8, 641750.46, 39625, 350, 0, 824.55, 2.36
4076785.8, 641750.54, 44475, 0, 0, NA, NA
4065120.9, 641755.29, 82575, 475, 0, 859.1, 1.81
4087165.8, 641762.67, 64425, 4275, 34052.5, 11625, 2.72
4076410.8, 641762.87, 46025, 1150, 6108.5, 3016.75, 2.62
4048268.3, 641767.67, 57225, 9350, 60697.5, 22752.5, 2.43
